original_columns	original_values	BICCN_ontology_term_id	ontology_label	project_name	doi
RNA type	L2/3 IT_2	ILX:0770156	L2/3 IT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L2/3 IT_3	ILX:0770156	L2/3 IT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L4/5 IT_1	ILX:0770174	L4/5 IT (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L4/5 IT_2	ILX:0770174	L4/5 IT (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5 ET_1	ILX:0770160	L5 ET neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5 ET_2	ILX:0770160	L5 ET neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5 ET_3	ILX:0770160	L5 ET neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5 ET_4	ILX:0770160	L5 ET neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5 IT_1	ILX:0770157	L5 IT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5 IT_2	ILX:0770157	L5 IT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5 IT_3	ILX:0770157	L5 IT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5 IT_4	ILX:0770157	L5 IT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5/6 NP CT	ILX:0770161	L5/6 NP neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5/6 NP_1	ILX:0770161	L5/6 NP neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5/6 NP_2	ILX:0770161	L5/6 NP neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L5/6 NP_3	ILX:0770161	L5/6 NP neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L6 CT Cpa6	ILX:0770162	L6 CT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L6 CT Grp	ILX:0770162	L6 CT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L6 CT Pou3f2	ILX:0770162	L6 CT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L6 IT_1	ILX:0770158	L6 IT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
RNA type	L6 IT_2	ILX:0770158	L6 IT neuron (BICCN)	scala	https://doi.org/10.1038/s41586-020-2907-3
